1,.0041353,20346e13,29796e13,82241e13,17683e14,23427e14,27395e14,31331e14,35785e14,38881e14,44031e14,47992e14,51518e14,53211e14,54925e14,56642e14,58507e14,60273e14,6214e15,64201e14,66491e14,69037e14,70796e14,719e16,7335e15,75245e14,7757e15,0,0
1,.0042976,21985e13,32006e13,8739e14,18844e14,2506e15,29397e14,33684e14,38536e14,41907e14,47495e14,51759e14,55571e14,57402e14,59249e14,61102e14,63113e14,65016e14,67025e14,69241e14,71699e14,74424e14,76299e14,77468e14,78998e14,80983e14,83346e14,0,0
1,.0044664,23758e13,34394e13,9285e14,20077e14,268e16,31539e14,36206e14,41494e14,45165e14,51229e14,55825e14,59949e14,6193e15,63921e14,65922e14,68092e14,70143e14,72306e14,74691e14,77331e14,80252e14,82255e14,83497e14,85116e14,87202e14,8962e15,0,0
1,.0046417,25673e13,36976e13,98638e13,21386e14,28651e14,33828e14,38908e14,44673e14,48673e14,55254e14,60214e14,64677e14,66821e14,68968e14,7113e15,73473e14,75684e14,78016e14,80585e14,83424e14,86559e14,88703e14,90024e14,91744e14,93946e14,96436e14,0,0
1,.0048239,27744e13,39767e13,10477e14,22776e14,30621e14,36273e14,41802e14,48091e14,52449e14,59592e14,64951e14,69781e14,72102e14,74418e14,76756e14,79287e14,81672e14,84186e14,86955e14,90011e14,93379e14,95679e14,97089e14,98919e14,10125e15,10383e15,0,0
1,.0050133,29981e13,42785e13,11126e14,24251e14,32717e14,38884e14,44901e14,51764e14,56513e14,64267e14,7006e15,7529e15,77803e14,80301e14,82831e14,85565e14,8814e15,90852e14,93838e14,97129e14,10075e15,10322e15,10473e15,10668e15,10916e15,11184e15,0,0
1,.0052101,324e15,46048e13,11812e14,25815e14,34944e14,41671e14,48218e14,5571e15,60886e14,69305e14,7557e15,81233e14,83954e14,86649e14,89388e14,92342e14,95122e14,98049e14,10127e15,10482e15,10871e15,11137e15,11298e15,11507e15,1177e16,12051e15,0,0
1,.0054146,35014e13,49576e13,12539e14,27472e14,37312e14,44645e14,51767e14,5995e15,65592e14,74733e14,81509e14,87643e14,9059e15,93498e14,96464e14,99657e14,10266e15,10582e15,10929e15,11312e15,11731e15,12016e15,12189e15,12412e15,12693e15,12986e15,0,0
1,.0056271,3784e14,53391e13,13307e14,29227e14,39828e14,47816e14,55563e14,64504e14,70654e14,80581e14,87912e14,94557e14,97747e14,10089e15,1041e16,10755e15,11079e15,1142e16,11795e15,12207e15,12659e15,12965e15,1315e16,13389e15,13688e15,13996e15,0,0
1,.005848,40894e13,57516e13,14118e14,31086e14,42501e14,51196e14,59622e14,69394e14,76099e14,8688e15,94813e14,10201e15,10547e15,10885e15,11233e15,11606e15,11956e15,12324e15,12729e15,13173e15,1366e16,13989e15,14187e15,14442e15,14761e15,15083e15,0,0
