    1   4.1353E-03   2.0346E+17   2.9796E+17   8.2241E+17   1.7683E+18   2.3427E+18   2.7395E+18   3.1331E+18   3.5785E+18   3.8881E+18   4.4031E+18   4.7992E+18   5.1518E+18   5.3211E+18   5.4925E+18   5.6642E+18   5.8507E+18   6.0273E+18   6.2140E+18   6.4201E+18   6.6491E+18   6.9037E+18   7.0796E+18   7.1900E+18   7.3350E+18   7.5245E+18   7.7570E+18
    1   4.2976E-03   2.1985E+17   3.2006E+17   8.7390E+17   1.8844E+18   2.5060E+18   2.9397E+18   3.3684E+18   3.8536E+18   4.1907E+18   4.7495E+18   5.1759E+18   5.5571E+18   5.7402E+18   5.9249E+18   6.1102E+18   6.3113E+18   6.5016E+18   6.7025E+18   6.9241E+18   7.1699E+18   7.4424E+18   7.6299E+18   7.7468E+18   7.8998E+18   8.0983E+18   8.3346E+18
    1   4.4664E-03   2.3758E+17   3.4394E+17   9.2850E+17   2.0077E+18   2.6800E+18   3.1539E+18   3.6206E+18   4.1494E+18   4.5165E+18   5.1229E+18   5.5825E+18   5.9949E+18   6.1930E+18   6.3921E+18   6.5922E+18   6.8092E+18   7.0143E+18   7.2306E+18   7.4691E+18   7.7331E+18   8.0252E+18   8.2255E+18   8.3497E+18   8.5116E+18   8.7202E+18   8.9620E+18
    1   4.6417E-03   2.5673E+17   3.6976E+17   9.8638E+17   2.1386E+18   2.8651E+18   3.3828E+18   3.8908E+18   4.4673E+18   4.8673E+18   5.5254E+18   6.0214E+18   6.4677E+18   6.6821E+18   6.8968E+18   7.1130E+18   7.3473E+18   7.5684E+18   7.8016E+18   8.0585E+18   8.3424E+18   8.6559E+18   8.8703E+18   9.0024E+18   9.1744E+18   9.3946E+18   9.6436E+18
    1   4.8239E-03   2.7744E+17   3.9767E+17   1.0477E+18   2.2776E+18   3.0621E+18   3.6273E+18   4.1802E+18   4.8091E+18   5.2449E+18   5.9592E+18   6.4951E+18   6.9781E+18   7.2102E+18   7.4418E+18   7.6756E+18   7.9287E+18   8.1672E+18   8.4186E+18   8.6955E+18   9.0011E+18   9.3379E+18   9.5679E+18   9.7089E+18   9.8919E+18   1.0125E+19   1.0383E+19
    1   5.0133E-03   2.9981E+17   4.2785E+17   1.1126E+18   2.4251E+18   3.2717E+18   3.8884E+18   4.4901E+18   5.1764E+18   5.6513E+18   6.4267E+18   7.0060E+18   7.5290E+18   7.7803E+18   8.0301E+18   8.2831E+18   8.5565E+18   8.8140E+18   9.0852E+18   9.3838E+18   9.7129E+18   1.0075E+19   1.0322E+19   1.0473E+19   1.0668E+19   1.0916E+19   1.1184E+19
    1   5.2101E-03   3.2400E+17   4.6048E+17   1.1812E+18   2.5815E+18   3.4944E+18   4.1671E+18   4.8218E+18   5.5710E+18   6.0886E+18   6.9305E+18   7.5570E+18   8.1233E+18   8.3954E+18   8.6649E+18   8.9388E+18   9.2342E+18   9.5122E+18   9.8049E+18   1.0127E+19   1.0482E+19   1.0871E+19   1.1137E+19   1.1298E+19   1.1507E+19   1.1770E+19   1.2051E+19
    1   5.4146E-03   3.5014E+17   4.9576E+17   1.2539E+18   2.7472E+18   3.7312E+18   4.4645E+18   5.1767E+18   5.9950E+18   6.5592E+18   7.4733E+18   8.1509E+18   8.7643E+18   9.0590E+18   9.3498E+18   9.6464E+18   9.9657E+18   1.0266E+19   1.0582E+19   1.0929E+19   1.1312E+19   1.1731E+19   1.2016E+19   1.2189E+19   1.2412E+19   1.2693E+19   1.2986E+19
    1   5.6271E-03   3.7840E+17   5.3391E+17   1.3307E+18   2.9227E+18   3.9828E+18   4.7816E+18   5.5563E+18   6.4504E+18   7.0654E+18   8.0581E+18   8.7912E+18   9.4557E+18   9.7747E+18   1.0089E+19   1.0410E+19   1.0755E+19   1.1079E+19   1.1420E+19   1.1795E+19   1.2207E+19   1.2659E+19   1.2965E+19   1.3150E+19   1.3389E+19   1.3688E+19   1.3996E+19
    1   5.8480E-03   4.0894E+17   5.7516E+17   1.4118E+18   3.1086E+18   4.2501E+18   5.1196E+18   5.9622E+18   6.9394E+18   7.6099E+18   8.6880E+18   9.4813E+18   1.0201E+19   1.0547E+19   1.0885E+19   1.1233E+19   1.1606E+19   1.1956E+19   1.2324E+19   1.2729E+19   1.3173E+19   1.3660E+19   1.3989E+19   1.4187E+19   1.4442E+19   1.4761E+19   1.5083E+19
    1   6.0776E-03   4.4195E+17   6.1977E+17   1.4976E+18   3.3054E+18   4.5341E+18   5.4797E+18   6.3960E+18   7.4646E+18   8.1955E+18   9.3666E+18   1.0225E+19   1.1005E+19   1.1379E+19   1.1745E+19   1.2122E+19   1.2525E+19   1.2903E+19   1.3300E+19   1.3737E+19   1.4216E+19   1.4739E+19   1.5094E+19   1.5306E+19   1.5578E+19   1.5918E+19   1.6255E+19
    1   6.3162E-03   4.7763E+17   6.6800E+17   1.5883E+18   3.5137E+18   4.8359E+18   5.8632E+18   6.8596E+18   8.0283E+18   8.8252E+18   1.0097E+19   1.1026E+19   1.1871E+19   1.2277E+19   1.2671E+19   1.3080E+19   1.3515E+19   1.3924E+19   1.4353E+19   1.4824E+19   1.5340E+19   1.5904E+19   1.6285E+19   1.6512E+19   1.6803E+19   1.7165E+19   1.7516E+19
    1   6.5641E-03   5.1620E+17   7.2015E+17   1.6842E+18   3.7340E+18   5.1566E+18   6.2714E+18   7.3549E+18   8.6332E+18   9.5021E+18   1.0884E+19   1.1890E+19   1.2806E+19   1.3244E+19   1.3670E+19   1.4113E+19   1.4584E+19   1.5025E+19   1.5488E+19   1.5997E+19   1.6553E+19   1.7160E+19   1.7569E+19   1.7812E+19   1.8123E+19   1.8509E+19   1.8875E+19
    1   6.8218E-03   5.5788E+17   7.7654E+17   1.7856E+18   3.9673E+18   5.4974E+18   6.7057E+18   7.8838E+18   9.2823E+18   1.0230E+19   1.1732E+19   1.2820E+19   1.3813E+19   1.4288E+19   1.4747E+19   1.5228E+19   1.5736E+19   1.6212E+19   1.6713E+19   1.7261E+19   1.7861E+19   1.8514E+19   1.8954E+19   1.9213E+19   1.9546E+19   1.9956E+19   2.0337E+19
